assembly_term,surname_key,full_name,party,constituency,start_date,end_date
6th,armance,Patrice Armance,PMSD,C1 Grand River North West-Port Louis West,2014-12-10,2019-11-07
6th,selvon,Danielle Selvon,MSM,C1 Grand River North West-Port Louis West,2014-12-10,2019-11-07
6th,baloomoody,Veda Baloomoody,MMM,C1 Grand River North West-Port Louis West,2014-12-10,2019-11-07
6th,uteem,Reza Uteem,MMM,C2 Port Louis South-Port Louis Central,2014-12-10,2019-11-07
6th,jadoo,Roubina Jadoo,MSM,C2 Port Louis South-Port Louis Central,2014-12-10,2019-11-07
6th,mahomed,Osman Mahomed,Labour,C2 Port Louis South-Port Louis Central,2014-12-10,2019-11-07
6th,mohamed,Shakeel Mohamed,Labour,C3 Port Louis Maritime-Port Louis East,2014-12-10,2019-11-07
6th,ameer meea,Aadil Ameer Meea,MMM,C3 Port Louis Maritime-Port Louis East,2014-12-10,2019-11-07
6th,husnoo,Anwar Husnoo,ML,C3 Port Louis Maritime-Port Louis East,2014-12-10,2019-11-07
6th,perraud,Aurore Perraud,PMSD,C4 Port Louis North-Montagne Longue,2014-12-10,2019-11-07
6th,oree,Vikash Oree,MSM,C4 Port Louis North-Montagne Longue,2014-12-10,2019-11-07
6th,monty,Marie-Claire Monty,PMSD,C4 Port Louis North-Montagne Longue,2014-12-10,2019-11-07
6th,callichurn,Soodesh Callichurn,MSM,C5 Pamplemousses-Triolet,2014-12-10,2019-11-07
6th,teeluckdharry,Sanjeev Teeluckdharry,MSM,C5 Pamplemousses-Triolet,2014-12-10,2019-11-07
6th,ramkaun,Sarvanand Ramkaun,MSM,C5 Pamplemousses-Triolet,2014-12-10,2019-11-07
6th,gungah,Ashit Gungah,MSM,C6 Grand Baie-Poudre D'Or,2014-12-10,2019-11-07
6th,rughoobur,Sudesh Rughoobur,MSM,C6 Grand Baie-Poudre D'Or,2014-12-10,2019-11-07
6th,fowdar,Sangeet Fowdar,ML,C6 Grand Baie-Poudre D'Or,2014-12-10,2019-11-07
6th,jugnauth,Anerood Jugnauth,MSM,C7 Piton-Riviere du Rempart,2014-12-10,2019-11-07
6th,lutchmeenaraidoo,Vishnu Lutchmeenaraidoo,MSM,C7 Piton-Riviere du Rempart,2014-12-10,2019-11-07
6th,rutnah,Ravi Rutnah,ML,C7 Piton-Riviere du Rempart,2014-12-10,2019-11-07
6th,dookun-luchoomun,Leela Dookun,MSM,C8 Quartier Militaire-Moka,2014-12-10,2019-11-07
6th,sawmynaden,Yogida Sawmynaden,MSM,C8 Quartier Militaire-Moka,2014-12-10,2019-11-07
6th,dayal,Raj Dayal,MSM,C9 Flacq-Bon Accueil,2014-12-10,2019-11-07
6th,rampertab,Raj Rampertab,MSM,C9 Flacq-Bon Accueil,2014-12-10,2019-11-07
6th,roopun,Pradeep Roopun,MSM,C9 Flacq-Bon Accueil,2014-12-10,2019-11-07
6th,sesungkur,Sudhir Sesungkur,MSM,C10 Montagne Blanche-Grand River South East,2014-12-10,2019-11-07
6th,bholah,Sunil Bholah,MSM,C10 Montagne Blanche-Grand River South East,2014-12-10,2019-11-07
6th,tarolah,Kalyan Tarolah,MSM,C10 Montagne Blanche-Grand River South East,2014-12-10,2019-11-07
6th,seeruttun,Mahen Seeruttun,MSM,C11 Vieux Grand Port-Rose Belle,2014-12-10,2019-11-07
6th,boygah,Sandhya Boygah,MSM,C11 Vieux Grand Port-Rose Belle,2014-12-10,2019-11-07
6th,koonjoo,Prem Koonjoo,MSM,C11 Vieux Grand Port-Rose Belle,2014-12-10,2019-11-07
6th,hurreeram,Bobby Hurreeram,MSM,C12 Mahebourg-Plaine Magnien,2014-12-10,2019-11-07
6th,jhugroo,Mahen Jhugroo,MSM,C12 Mahebourg-Plaine Magnien,2014-12-10,2019-11-07
6th,ramful,Ritish Ramful,Labour,C12 Mahebourg-Plaine Magnien,2014-12-10,2019-11-07
6th,gobin,Maneesh Gobin,MSM,C13 Riviere des Anguilles-Souillac,2014-12-10,2019-11-07
6th,joomaye,Zouberr Joomaye,MMM,C13 Riviere des Anguilles-Souillac,2014-12-10,2019-11-07
6th,jahangeer,Bashir Jahangeer,MSM,C13 Riviere des Anguilles-Souillac,2014-12-10,2019-11-07
6th,ganoo,Alan Ganoo,MMM,C14 Savanne-Black River,2014-12-10,2019-11-07
6th,lesjongard,Joe Lesjongard,MMM,C14 Savanne-Black River,2014-12-10,2019-11-07
6th,jhuboo,Ezra Jhuboo,Labour,C14 Savanne-Black River,2014-12-10,2019-11-07
6th,benydin,Tulsiraj Benydin,ML,C15 La Caverne-Phoenix,2014-12-10,2019-11-07
6th,soodhun,Showkutally Soodhun,MSM,C15 La Caverne-Phoenix,2014-12-10,2019-11-07
6th,boissezon,Eddy Boissezon,ML,C15 La Caverne-Phoenix,2014-12-10,2019-11-07
6th,bodha,Nando Bodha,MSM,C16 Vacoas-Floreal,2014-12-10,2019-11-07
6th,sanataram,Baboo Sanataram,PMSD,C16 Vacoas-Floreal,2014-12-10,2019-11-07
6th,sinatambou,Etienne Sinatambou,MSM,C16 Vacoas-Floreal,2014-12-10,2019-11-07
6th,duval,Adrien Duval,PMSD,C17 Curepipe-Midlands,2014-12-10,2019-11-07
6th,toussaint,Stephan Toussaint,MSM,C17 Curepipe-Midlands,2014-12-10,2019-11-07
6th,sewocksingh,Malini Sewocksingh,PMSD,C17 Curepipe-Midlands,2014-12-10,2019-11-07
6th,duval,Xavier-Luc Duval,PMSD,C18 Belle Rose-Quatre Bornes,2014-12-10,2019-11-07
6th,bhadain,Roshi Bhadain,MSM,C18 Belle Rose-Quatre Bornes,2014-12-10,2019-11-07
6th,ramano,Kavy Ramano,MMM,C18 Belle Rose-Quatre Bornes,2014-12-10,2019-11-07
6th,collendavelloo,Ivan Collendavelloo,ML,C19 Stanley-Rose Hill,2014-12-10,2019-11-07
6th,daureeawoo,Fazila Daureeawoo,MSM,C19 Stanley-Rose Hill,2014-12-10,2019-11-07
6th,berenger,Paul Berenger,MMM,C19 Stanley-Rose Hill,2014-12-10,2019-11-07
6th,bhagwan,Rajesh Bhagwan,MMM,C20 Beau Bassin-Petite Riviere,2014-12-10,2019-11-07
6th,gayan,Anil Gayan,ML,C20 Beau Bassin-Petite Riviere,2014-12-10,2019-11-07
6th,aliphon,Alain Aliphon,MSM,C20 Beau Bassin-Petite Riviere,2014-12-10,2019-11-07
6th,francois,Francisco Francois,RPO,C21 Rodrigues,2014-12-10,2019-11-07
6th,leopold,Buisson Leopold,RPO,C21 Rodrigues,2014-12-10,2019-11-07
6th,wong yen cheong,Alain Wong Yen Cheong,PMSD,Best Loser,2014-12-10,2019-11-07
6th,barbier,Jean Claude Barbier,MMM,Best Loser,2014-12-10,2019-11-07
6th,mamode,Salim Abbas Mamode,PMSD,Best Loser,2014-12-10,2019-11-07
6th,henry,Thierry Henry,PMSD,Best Loser,2014-12-10,2019-11-07
6th,sorefan,Raffick Sorefan,MMM,Best Loser,2014-12-10,2019-11-07
6th,quirin,Franco Quirin,MMM,Best Loser,2014-12-10,2019-11-07
6th,lepoigneur,Guito Lepoigneur,PMSD,Best Loser,2014-12-10,2019-11-07
7th,david,Fabrice David,Labour,C1 Grand River North West-Port Louis West,2019-11-07,2024-11-10
7th,chukowry,Dorine Chukowry,MSM,C1 Grand River North West-Port Louis West,2019-11-07,2024-11-10
7th,armance,Patrice Armance,PMSD,C1 Grand River North West-Port Louis West,2019-11-07,2024-11-10
7th,mahomed,Osman Mahomed,Labour,C2 Port Louis South-Port Louis Central,2019-11-07,2024-11-10
7th,uteem,Reza Uteem,MMM,C2 Port Louis South-Port Louis Central,2019-11-07,2024-11-10
7th,aumeer,Ismael Aumeer,Labour,C2 Port Louis South-Port Louis Central,2019-11-07,2024-11-10
7th,mohamed,Shakeel Mohamed,Labour,C3 Port Louis Maritime-Port Louis East,2019-11-07,2024-11-10
7th,mamode,Salim Abbas Mamode,PMSD,C3 Port Louis Maritime-Port Louis East,2019-11-07,2024-11-10
7th,ameer meea,Aadil Ameer Meea,MMM,C3 Port Louis Maritime-Port Louis East,2019-11-07,2024-11-10
7th,lesjongard,Joe Lesjongard,MSM,C4 Port Louis North-Montagne Longue,2019-11-07,2024-11-10
7th,tour,Joanne Tour,MSM,C4 Port Louis North-Montagne Longue,2019-11-07,2024-11-10
7th,callichurn,Soodesh Callichurn,MSM,C5 Pamplemousses-Triolet,2019-11-07,2024-11-10
7th,ramkaun,Sharvanand Ramkaun,MSM,C5 Pamplemousses-Triolet,2019-11-07,2024-11-10
7th,woochit,Ranjiv Woochit,Labour,C5 Pamplemousses-Triolet,2019-11-07,2024-11-10
7th,ramdanee,Sanjiv Ramdanee,MSM,C6 Grand Baie-Poudre D'Or,2019-11-07,2024-11-10
7th,gungapersad,Mahend Gungapersad,Labour,C6 Grand Baie-Poudre D'Or,2019-11-07,2024-11-10
7th,teeluck,Avinash Teeluck,MSM,C6 Grand Baie-Poudre D'Or,2019-11-07,2024-11-10
7th,gobin,Maneesh Gobin,MSM,C7 Piton-Riviere du Rempart,2019-11-07,2024-11-10
7th,dhaliah,Ravi Dhaliah,MSM,C7 Piton-Riviere du Rempart,2019-11-07,2024-11-10
