topic_id,count,coherence_c_v,label,top_words,example_1,example_2,example_3
1,6719,0.5031,,"minister, that, he, committee, the, has, hon, is, can, been","Madam Speaker, we must not forget that this is just a provisional charge. The enquiry is still on. The counting is not over and it was supposed to continue today but, unfortunately, the former Prime Minister has fallen ill. I think I am not in a position to answer to many supplementary questions because being given that he has not yet given his defence statement, being given that all the money has not yet been counted; I think any new information that may go out may cause a lot of prejudice to the enquiry.","If I can move to the last part of my question. Concerning the Roches Noires bungalow affair, I think I heard the Rt. hon. Prime Minister say that the former Prime Minister has not to date given a statement. He has said he will later on give a statement. Have all the other aspects of that inquiry into the Roches Noires bungalow affair been completed?","Well, the inquiry has not yet been completed, because the former Prime Minister has not given his statement so far. Once his statement is given, then the Police will consider whether other statements have to be recorded."
0,5374,0.4609,,"minister, prime, hon, you, he, not, please, reply, question, is",The Rt. hon. Prime Minister has informed us that…,"Please, allow the hon. Prime Minister to reply.","We will come with the final report. RELIGIOUS & SOCIO-CULTURAL FUNCTIONS – POLITICAL SPEECHES (No. B/8) Mr E. Jhuboo (Third Member for Savanne & Black River) asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rodrigues and National Development Unit whether, following Government’s decision not to take the floor during socio-cultural functions, he will state if consideration will be given for the introduction of legislation, as is the case in Singapore."
10,3658,0.9085,,"twa, ki, li, mo, pa, pe, mwa, pou, dir, sa",ROCHES NOIRES – BUNGALOW – THEFT,"You have made your point, hon. Ganoo!",Of course!
4,3290,0.3177,,"dont, no, not, you, do, non, question, am, please, me","No, I am not aware of any.","Anyway, I don’t find it necessary.","In the circumstances, we have no alternative."
3,2978,0.761,,"hospital, medical, health, patients, hospitals, doctors, at, cancer, treatment, the","Madam Speaker, I have already mentioned that according to the information that I have, in Tranquebar, we have 82 cases that have been registered in my Ministry. Anyway, I am going to ask my officers to consider the suggestion of the hon. Member and definitely we are going to have a solution.","I just mentioned that wherever there is an extension, they contact my Ministry which will do the needful with the Ministry of Health to assist people so that, at least, we can take the necessary precautions with the asbestos products. This is being done and this is going to continue to be.","asked the Minister of Health and Quality of Life whether, in regard to the Pre-Registration Training for new qualified doctors, he will – (a) give a list thereof awaiting training, indicating in each case, the date of registration, and (b) state when they will be enlisted, indicating the number thereof that will be enlisted Reply: With regard to part (a) of the question, the list requested in respect of applications from newly qualified doctors together with the relevant information is being placed in the Library. With regard to part (b) of the question, procedures are under way for the enlistment of 63 Pre-Registration House Officers."
2,2829,0.6486,,"water, authority, drainage, cwa, works, drains, drain, the, of, supply","Excuse me! I don’t think this question can be accepted, because the question is in regard to hawkers, the number thereof and the measure that will be taken to regulate the situation. Next question, hon. Lesjongard! SAVANNE & BLACK RIVER - EDC HOUSES - ASBESTOS","asked the Vice-Prime Minister, Minister of Housing and Lands whether, in regard to the EDC houses in which asbestos is present, in Constituency No. 14, Savanne and Black River, he will state – (a) the number thereof that – (i) have been pulled down, and (ii) are still in place, and (b) the remedial actions that have been in respect thereof.","asked the Vice-Prime Minister, Minister of Energy and Public Utilities whether, in regard to the acute sewerage problem at Cité Marcel Cabon Albion Village, he will – (a) state if urgent consideration will be given for the compulsorily acquisition of land for the installation of a leaching plant thereat, and (b) for the benefit of the House, obtain from the Waste Water Management Authority, information as to if consideration will be given for regular pumping of individual sewers to alleviate the hardship of the inhabitants."
14,2783,0.5399,,"project, contract, projects, works, we, been, was, completed, have, is","The hon. Minister clarifies something. If the money is there provided for by the previous Government, if the sites are there provided for the previous Government, he is not telling the House, I hope, that the procurement process and the preparation and implemention of the previous Government’s project to come with the solution will take a year! I am sure that he can find ways and means of being more reasonable with the time that it would take to implement the project because this goes against the very policy of the hon. Prime Minister, they are going fast, because it is extremely slow.","In no way! I am working on it. These sites have been identified. We are planning a new project, better project than what was envisaged previously. That’s why we are working….","Mr Deputy Speaker, Sir, in fact, we are now seeing what are the priorities of the decongestion programme and we are going to have consultations with the Minister of Finance and we will have a set of priorities. It is going to be one of the priorities."
18,2598,0.902,,"de, le, budget, la, et, les, des, pour, en, que","May I ask the Rt. hon. Prime Minister, in view of the substantial amount of money which has been found on the premises of the former Prime Minister and in view of the fact that all parties in this House are agreeable that a legal framework be set up to control the finances of political parties, doesn’t the Prime Minister think that it is urgent to uphold the dignity of the political class in this country after what has just happened to come up with a legislation, either setting up a Select Committee or come up with a legislation once for all for the financial control of political parties?","I think it is directly relevant to part (ii) of the question; the question of local workers with a view to reducing unemployment. I was drawing the Minister’s attention to the Construction Sector, Mr Deputy Speaker.","Madam Speaker, I have read the chapter on economy; I can perceive that there are good intentions from the present Government. I sincerely hope that the Government of the day do achieve what they have proposed. The creation of new pillars for economic growth, such as making Mauritius a regional bunkering hub, the development of the Ocean Economy, the implementation of the Duty-Free Shopping Paradise are not new to this Assembly. They have been invoked in the past by previous Governments. The Deputy Prime Minister, hon. Duval, who was serving as Minister of Finance in the previous Government, did mention in the 2014 Budget, about making Mauritius a Marine Services Hub. He mentioned the creation of a Marine Services Platform as a new pillar centered on growing the bunkering facilities. He also mentioned that currently we attract bunkering traffic for only 300,000 tonnes and the demand for bunkering in the region is expected to rise to around 8.6 m. tonnes. And this is why the previous Government took the decision to liberalise the importation of bunker fuel resulting in more competitive tariffs. However, this won’t be enough because there are other factors that should be considered such as the need to have the infrastructure and equipment and the human resource to support an efficient bunkering operation in the port. So, Madam Speaker, such a project should be given its utmost priority and I suggest that there must be an exhaustive study and we should follow the path led by Singapore which has now become the world’s largest bunkering port. The Ocean Economy is yet another pillar mentioned by the hon. Deputy Prime Minister, the then Minister of Finance, under the previous Government. A roadmap had been prepared and various opportunities were identified for the exploration of the 2.3 m. square kilometres of maritime zone, including petroleum and mineral exploration, seafood and aquaculture, deep ocean water applications, marine renewable energies and ocean knowledge. A National Ocean Economy Task Force was even set up to oversee the implementation of that roadmap. Even experts from World Bank were roped in to help in the realisation of this new pillar of economic development. And I congratulate this Government for their decision to continue with this project. The Duty-free Shopping Paradise, again another laudable project initiated by hon. Pravind Kumar Jugnauth back in 2005 when he announced the abolition of 80% tax on about 1850 varieties of goods, including fabrics, electronics and jewellery. However, it is regrettable that this project has not really materialised. We still find most of our tourist visitors coming with their 10kg luggage and leaving the country with their 10kg luggage. Now, I believe that maybe this duty-free concept should be extended to more varieties of products to the taste and to the needs of the visitors, but, at the same time, we should be careful not to make things more complicated for those export-led industries, especially in the present context of the fall in the Euro. The creation of an SME bank and earmarking Rs10 billion for the SMEs, again it is good intention to increase growth and create jobs, but until and unless these SMEs do not explore the right market to exhaust their products, no amount of fiscal alleviations would help them. Our market is too small for the survival of these SMEs and they should, therefore, be encouraged to export overseas. Measures should be taken by the Government so that these SMEs have easy access to information, advice and finance so that they can have the required technology to compete on the international market. Madam Speaker, bringing our country to a higher level of economic development or attaining a second socio-economic miracle, whatever terms we use, what is important is that we should develop new strategies to maximise our opportunities in a new world environment. We cannot take any risk and formulate economic policies haphazardly. This Government cannot take any risk and it will have to fulfil the promise of making the economic miracle, otherwise the future of a whole generation will be wasted. This is why I suggest that maybe the present Government should consider the setting-up of an Economic Strategies Committee under the chairmanship of the hon. Minister of Finance comprising of experts. This committee should engage itself in obtaining views and suggestions from various stakeholders, including the industries, business chambers and associations, universities and think-tanks, unionists, professionals, entrepreneurs and members of the public. Proposals from this committee would then help to develop meaningful social and economic strategies to create growth. Madam Speaker, only economic growth will help to create jobs. The Government has promised the creation of 15,000 jobs annually and a significant number of jobs in the public sector. We are all concerned with the number of unemployed school leavers and graduates who are struggling to find a decent job. Palliative measures such as the “Youth Employment Programme’ will not solve the problem. Government should make an assessment of the current ‘Youth Employment Programme’ to find out how many of those enlisted in that programme do retain their jobs after the completion of their one-year contract and then come up with reforms. Madam Speaker, the quest for a second socio-economic miracle would not be accomplished if we do not come up with an adaptable and realistic reform in the education sector. I am glad to see in the programme that Government is aiming at providing a high standard of academic education and skills for our youngsters. It is also encouraging to see that the education reforms will focus on curriculum review and performance improvement at all levels. The reforms should not only consider providing high standard of quality education but should also include value education. The level of discipline in our schools has been the subject of a lot of debates recently and this is what parents are saying outside. They are saying: ‘when a three or four-year-old child comes to school for admission, the child comes as a little angel but when the child, now a young adult, leaves the school at the age of seventeen or eighteen, he/she often leaves as a little devil.’ So, we have to bring meaningful change in the educational sector that would take account of both quality and value education. When talking about quality education, I would like to draw the attention of the hon. Minister of Education and Human Resources to the book called ‘Ti-Matou’ that was introduced in the primary education curriculum last year with the blessing of the previous Minister."
41,2519,0.9532,,"le, de, la, et, que, les, nous, pas, qui, je","Well, unfortunately, insofar as socio-cultural societies are concerned, we know what use has been made of them in the past and in most cases the politicians don’t stick to the subject matter, they slip away and they do the most heinous type of politics on these platforms.","At least, in the past, there was a policy when hon. Bodha was Minister, there was consensus, jet skis were banned. Take a decision. Why do we have to wait for a negative comment from the Ministry of Fisheries, Tourism Authority, those who will be appointed, revoked, replaced? Why not take a policy decision? Why not going back to the policy decision that was taken and ban it?","I, in fact, saw in a file that my predecessor had a lot of discussions with a lot of people, but could not reach consensus. So, hopefully, we can reach consensus, but at the end of the day, we will have to do what we have to do."
5,2517,0.4816,,"madam, speaker, sir, you, mr, not, it, is, what, am","Well, Madam Speaker, it is our habit to act quickly.","Madam Speaker, I, myself, have raised this issue in this House since 2012 and up to now there has not been any drastic change in this issue.","Excuse me, Sir. Madam Speaker, the point is very clear; we are going to see to it that all actions proactive, active, reactive will be taken in time."
13,2172,0.7762,,"road, traffic, works, rda, roads, street, bridge, along, the, construction","Thank you, Madam Speaker. The hon. Vice-Prime Minister mentioned that some of the houses in Vallée Pitot may be affected by the Ring Road track. Is that still the case? Is the Government still going ahead with the Ring Road across Vallée Pitot?","Yes, Madam Speaker. In fact, when I did the site visit, I walked from La Gare du Sud to La Gare du Nord. But, it was not just these two sites, there were a lot of sites on the way. A lot of roads were included. I did not mention each and every road specifically. So, we visited quite a number of sites. That’s No. 1. Secondly, you are right, there were Rs117 m. earmarked for the project, but, as I mentioned, we are working on these sites and that’s going to take a bit of investment. The money is here, we are going to invest it to provide these new facilities to hawkers.","asked the Minister of Public Infrastructure and Land Transport whether, in regard to road congestion along Ebene link road to Vandermeersch Round about and Vandermeersch Street, Rose Hill towards Beau Bassin, he will, for the benefit of the House, obtain from the Road Development Authority, information as to if urgent measures will be taken under the Road Decongestion Programme to alleviate the hardship of road users thereat."
8,2055,0.9218,,"schools, education, students, school, secondary, teachers, primary, grade, tertiary, educators","asked the Minister of Education and Human Resources, Tertiary Education and Science Research whether she will state if her Ministry is considering the introduction of subject teaching at the primary level.","There have been a lot of complaints from parents about the contents of that book. Instead of raising their level of education, it has created confusion in the minds of young children at their tender age. How can a child, who is still struggling with learning words, be taught to read lengthy texts at the first year cycle? How can a child be taught to learn words without being taught syllables? How can educators be asked to work on a book without having been given proper and adequate training? I hope that the hon. Minister shall take immediate corrective measures as she did for the Enhancement Programme which was a complete waste of public money and which was being used by some parents working late hours as a ‘garderie’ for their children after school hours.","I take note of the Government’s decision to introduce a 9-year basic continuous schooling and to replace the Certificate of Primary Education by an end of primary cycle assessment. However, before embarking on such a course, I would request the hon. Minister to come with an integrated roadmap or a green paper with concrete proposals so that there are constructive inputs from different stakeholders on such an important issue. I also welcome Government’s decision to come up with an Integrated Career Counselling Service to enable the young students to better plan their career. I would like to seize the opportunity to draw the attention of the hon. Minister that under my chairmanship when I was at the Human Resource Development Council, we have worked on this project for the setting-up of such a Career Counselling Service and the project has reached an advanced stage. Madam Speaker, I cannot end my speech without referring to the Police inquiry against the former Prime Minister that led to the seizure of bank notes found in his safes. I shall refrain myself from engaging in a debate about the source of that money, since there is an on- going Police inquiry and, above all, we should not give the impression of being ‘des hypocrites’ or close our eyes to the obvious. But there is…."
57,2041,0.5165,,"yes, you, but, it, what, is, am, let, course, are",In which case is that?,…is also concerned…,This is not our way just to go for publicity….
30,2033,0.5206,,"mauritius, chagos, the, we, in, that, archipelago, of, to, and","Thank you, Madam Speaker. Is the hon. Minister aware that in a written reply to Rajya Sabha in India, the hon. Minister of Finance, Arun Jaitley stated that India has made certain proposals for the revision of DTC to end round-tripping and other aspects. Mauritius is yet to agree to such revision. It would appear from the Indian side that the ball is on our camp. May I know from the hon. Minister what he is doing to hit back the ball?","May I take it that, as at today, the hon. Minister is not in a position to tell us when he is going to have a new meeting and is he aware that time is running out? Only last week the Foreign Investment Promotion Board of India refused treaty to 23 FDI proposals including FDI proposals from Mauritius companies? So, whereas we are sitting here, India is taking action and denying treaty provisions to our FDIs.",… to pull down these houses once for all so that Mauritius can be free of asbestos houses?
36,1943,0.4461,,"bill, this, de, we, that, is, to, the, speaker, it","Madam Speaker, I am advised that everything has been done according to our law.","Madam Speaker, as the House is aware, the Government Programme 2015-2019 already provides for the introduction of a new Declaration of Assets Bill with a view to curbing fraud, corruption, malpractices and irregularities in all aspects of public life and restoring our national values. My Government will come up with such a Bill as soon as it is ready.","Can I also ask the Rt. hon. Prime Minister when looking into this new Bill, to give consideration to the possibility of making those declarations of assets public because in the past we had a problem and it is filed with ICAC, whether it has to be laid before the Speaker or not?"
20,1899,0.5298,,"police, officers, commissioner, that, there, have, is, the, to, case","Madam Speaker, in regard to part (a) of the question, I am informed by the Commissioner of Police that on Saturday 07 February 2015, the following charges were lodged against Dr. Navinchandra Ramgoolam, former Prime Minister - (i) “Conspiracy”, and (ii) “Money Laundering”. The enquiry is still in progress. Madam Speaker, with regard to part (b) of the question, I am informed by the Commissioner of Police that Police filed a “Prohibition Order” against Dr. Ramgoolam on 07 February 2015, together with the Provisional Charges, to which the Bail and Remand Court acceded. Madam Speaker, with regard to part (c) (i) of the question, I am informed by the Commissioner of Police that Police sought to interview Dr. Navinchandra Ramgoolam on Saturday 07 February 2015, at the Central CID, Line Barracks, in connection with the theft at Roches Noires bungalow and after being cautioned, he declined to give his statement and informed that he would do so at a later stage. Madam Speaker, in regard to part (c) (ii), as far as the case of the death of Mr A. K. R. in Police custody at Rivière du Rempart Police Station is concerned, in light of fresh information obtained on the case, a new enquiry is in progress, and so far Dr. Ramgoolam has not been interrogated. Madam Speaker, regarding part (c) (iii) of the question, relating to the audio recording at Rivière du Rempart in December 2014, I am informed that the enquiry into the case is in progress and Dr. Ramgoolam would be interrogated in due course.","Madam Speaker, we heard the Rt. hon. Prime Minister saying that there are two provisional charges. In the case of the one relating to money laundering, if the Rt. hon. Prime Minister has gone through the provisional charge before the Court concerned, has it been brought to his attention that the provisional charge amongst other things reads thus, I quote - “(…) was found in possession of over Rs4 m. composed of Mauritian rupees and foreign currencies and another huge amount of around Rs200 m., suspected to be proceeds of corruption and bribe found in two safes seized by the Central CID which have to be forced opened, as access therewith is not available”. Has the Rt. hon. Prime Minister tried to find out how can, in a provisional charge, be said that the two safes have not yet been opened, and yet there is a huge amount of Rs200 m. in those two safes yet to be opened?","The Rt. hon. Prime Minister will have understood my point. Is it serious to put in a provisional charge that the safes have not yet been opened and yet the Police, the CID knows that there is a huge amount of more than Rs200 m., concerning safes not yet opened, according to themselves?"
139,1890,0.409,,"item, chairperson, fees, minister, thank, amount, can, paid, hon, know","Madam Speaker, the hon. Prime Minister mentioned that one of the charges against the former Prime Minister is one of money laundering. In view of the fact that a huge amount of money is involved in foreign currency, is the hon. Prime Minister aware whether the hon. Attorney General has made any request for any foreign State for assistance under the Mutual Assistance in Criminal and Related Matters for this case?","Mr Deputy Speaker, Sir, when the hon. Minister mentioned claims for certain payments, may I know from him whether these payments have been made or they have been put on hold?","As far as part (b) is concerned, Madam Speaker, I think here the hon. Minister tells us the value of the treatment of landslides award. Can he confirm that Sinohydro was awarded the contract for Rs800 m., that, up to date, 8% have already been paid? He tells us that Sinohydro has agreed to stop works, on what conditions and is Sinohydro also being investigated into by the Committee and so on of hon. Minister Bhadain?"
